-260.837642322136,257.324846433662,251.145436745705
-260.869993702661,257.279322528714,251.145436745705
-260.902019173888,257.233478452806,251.145436745705
-260.933719694955,257.187310755168,251.145436745705
-260.965091073988,257.140825302126,251.145436745705
-260.99613632629,257.094013298024,251.145436745705
-261.026857027146,257.04688111967,251.145436745705
-261.0572492877,256.999429066281,251.145436745705
-261.0873118937,256.951654697837,251.145436745705
-261.117053139388,256.903556422323,251.145436745705
-261.146468639241,256.85513704022,251.145436745705
-261.175555260954,256.806397638202,251.145436745705
-261.204311983765,256.757335692367,251.145436745705
-261.232744060133,256.707954822762,251.145436745705
-261.260851755405,256.658247968566,251.145436745705
-261.288632205836,256.608221363508,251.145436745705
-261.316087267254,256.557871847023,251.145436745705
-261.343211895859,256.507199249237,251.145436745705
-261.370013229688,256.45620422611,251.145436745705
-261.396486576839,256.404888790399,251.145436745705
-261.422636677298,256.353251742927,251.145436745705
-261.448456492918,256.301295949445,251.145436745705
-261.473953669313,256.249015487973,251.145436745705
-261.499123665442,256.196414377647,251.145436745705
-261.523963720052,256.143487968707,251.145436745705
-261.548482014127,256.09024492372,251.145436745705
-261.572670673751,256.036678174251,251.145436745705
-261.596533535276,255.982790067165,251.145436745705
-261.620071811315,255.928581053844,251.145436745705
-261.64328248685,255.874045676918,251.145436745705
-261.666166770082,255.819190615434,251.145436745705
-261.688725416725,255.764016520886,251.145436745705
-261.710957911124,255.708517474199,251.145436745705
-261.732866008875,255.65269808693,251.145436745705
-261.754445102857,255.596556924972,251.145436745705
-261.775698439683,255.540093331573,251.145436745705
-261.796623736206,255.483307121418,251.145436745705
-261.817222374911,255.426200464483,251.145436745705
-261.837496630509,255.368772728739,251.145436745705
-261.857443496529,255.311022618213,251.145436745705
-261.877062779905,255.252948595102,251.145436745705
-261.896356192051,255.19455525884,251.145436745705
-261.915324594797,255.135837183614,251.145436745705
-261.933966378703,255.076801640175,251.145436745705
-261.952283432378,255.01744204557,251.145436745705
-261.970273145558,254.957760583261,251.145436745705
-261.987933379517,254.897755940719,251.145436745705
-262.005270467321,254.837431391076,251.145436745705
-262.022279567815,254.776784401268,251.145436745705
-262.038963594862,254.715816328595,251.145436745705
-262.05531939237,254.654525012095,251.145436745705
-262.071350866256,254.592912517537,251.145436745705
-262.087058883707,254.530978439657,251.145436745705
-262.102435448662,254.468721375932,251.145436745705
-262.117486482811,254.40614347566,251.145436745705
-262.132210536991,254.343242790646,251.145436745705
-262.146610301566,254.28002257382,251.145436745705
-262.160683479213,254.216479614286,251.145436745705
-262.174428290522,254.152614625245,251.145436745705
-262.187847021025,254.088425980021,251.145436745705
-262.200942932948,254.023917527903,251.145436745705
